
>>> ###################################################################
>>> # To use this script, paste all of the lines starting with the
>>> # three greater than signs (>>>) into a python interpreter.
>>> ###################################################################
>>> 
>>> from simtk.unit import *
>>> from simtk import openmm as mm
>>> from simtk.openmm import app
>>> 
>>> pdb = app.PDBFile('acp2.pdb')
>>> topology = pdb.topology
>>> positions = pdb.positions
>>> system = XmlSerializer.deserializeSystem(open(system.xml).read())
########################################################################
# Option Summary. A more detailed config file is saved to config.out.ini
########################################################################

[General]                       
protein = None                   # default value
water = None                     # default value
platform = CUDA                  # your selection
coords = acp2.pdb                # your selection
precision = Mixed                # default value
device = 1                       # your selection

[System]                        

[Dynamics]                      
integrator = Langevin            # default value
dt = 0.5*femtosecond             # your selection
temp = 300*kelvin                # default value
collision_rate = 1.0/picosecond  # default value

[Simulation]                    
n_steps = 5000                   # your selection
restart_file = restart.p         # default value
minimize = False                 # your selection
restart_freq = 100               # your selection
traj_file = output.dcd           # default value
read_restart = False             # default value
progress_freq = 10               # your selection
write_restart = True             # default value
traj_freq = 100                  # your selection

>>> integrator = mm.LangevinIntegrator(300*kelvin, 1.0/picosecond, 0.5*femtosecond)
>>> platform = mm.Platform.getPlatformByName('CUDA')
>>> platformProperties = {'CudaPrecision': 'mixed', 'CudaDeviceIndex': '1'}
>>> simulation = app.Simulation(topology, system, integrator, platform, properties)
>>> simulation.context.setPositions(positions)
>>> simulation.context.setVelocitiesToTemperature()
>>> simulation.reporters.append(ProgressReporter(sys.stdout, 10, 5000))
>>> simulation.reporters.append(DCDReporter(output.dcd, 100))
>>> simulation.reporters.append(RestartReporter(restart.p, 100))
>>> simulation.step(5000)


Progress   WallTime Left      Speed          Time            P.E.            K.E.        Total E.          Temp        Vol        Rho
     (%)       (d:h:m:s)   (ns/day)          (ps)        (kJ/mol)        (kJ/mol)        (kJ/mol)           (K)     (nm^3)     (g/mL)
  0.000%              ??       0.00       0.00000   -131167.78604     39472.80014    -91694.98590     301.74348   104.3248     1.0029
  0.200%           45:25       0.08       0.00500   -131999.87797     40258.11925    -91741.75872     307.74672   104.3248     1.0029
  0.400%           41:37       0.09       0.01000   -132610.70486     40815.23819    -91795.46667     312.00553   104.3248     1.0029
  0.600%           40:15       0.09       0.01500   -132636.03738     40813.48407    -91822.55332     311.99212   104.3248     1.0029
  0.800%           39:32       0.09       0.02000   -132686.55625     40876.61438    -91809.94187     312.47471   104.3248     1.0029
  1.000%           39:05       0.09       0.02500   -132014.70570     40228.12858    -91786.57712     307.51746   104.3248     1.0029
  1.200%           38:45       0.09       0.03000   -131946.75202     40223.22540    -91723.52663     307.47998   104.3248     1.0029
  1.400%           38:30       0.09       0.03500   -131422.56200     39680.22058    -91742.34142     303.32907   104.3248     1.0029
  1.600%           38:18       0.09       0.04000   -131620.36348     39832.58254    -91787.78093     304.49378   104.3248     1.0029
  1.800%           38:07       0.09       0.04500   -131329.65497     39516.12072    -91813.53425     302.07463   104.3248     1.0029
  2.000%           37:59       0.09       0.05000   -131377.93872     39557.42471    -91820.51400     302.39038   104.3248     1.0029
  2.200%           37:13       0.09       0.05500   -130968.74603     39193.85970    -91774.88633     299.61116   104.3248     1.0029
  2.400%           35:28       0.10       0.06000   -131188.58616     39432.19183    -91756.39433     301.43305   104.3248     1.0029
  2.600%           33:59       0.10       0.06500   -131538.61531     39747.95271    -91790.66259     303.84684   104.3248     1.0029
  2.800%           32:43       0.11       0.07000   -131680.81443     39902.33277    -91778.48166     305.02697   104.3248     1.0029
  3.000%           31:36       0.11       0.07500   -131575.36873     39802.08457    -91773.28416     304.26064   104.3248     1.0029
  3.200%           30:37       0.11       0.08000   -131214.37659     39420.67551    -91793.70108     301.34502   104.3248     1.0029
  3.400%           29:45       0.12       0.08500   -131355.81079     39573.79851    -91782.01228     302.51554   104.3248     1.0029
  3.600%           28:59       0.12       0.09000   -131477.95358     39678.16142    -91799.79216     303.31333   104.3248     1.0029
  3.800%           28:17       0.12       0.09500   -131669.77764     39899.57262    -91770.20501     305.00587   104.3248     1.0029
  4.000%           27:40       0.12       0.10000   -131629.22679     39812.26148    -91816.96531     304.33844   104.3248     1.0029
  4.200%           27:26       0.13       0.10500   -131870.68716     40067.05926    -91803.62790     306.28620   104.3248     1.0029
  4.400%           26:54       0.13       0.11000   -131670.46856     39855.39900    -91815.06956     304.66819   104.3248     1.0029
  4.600%           26:24       0.13       0.11500   -132019.75375     40234.35135    -91785.40240     307.56503   104.3248     1.0029
  4.800%           25:56       0.13       0.12000   -131816.41648     40051.61188    -91764.80460     306.16811   104.3248     1.0029
  5.000%           25:31       0.13       0.12500   -132261.85118     40412.02886    -91849.82232     308.92326   104.3248     1.0029
  5.200%           25:07       0.14       0.13000   -131960.21893     40095.30212    -91864.91681     306.50209   104.3248     1.0029
  5.400%           24:45       0.14       0.13500   -131750.84456     39936.26944    -91814.57512     305.28639   104.3248     1.0029
  5.600%           24:24       0.14       0.14000   -131400.86889     39533.91380    -91866.95509     302.21065   104.3248     1.0029
  5.800%           24:05       0.14       0.14500   -131310.59128     39479.85737    -91830.73391     301.79743   104.3248     1.0029
  6.000%           23:47       0.14       0.15000   -131014.16513     39162.28466    -91851.88047     299.36979   104.3248     1.0029
  6.200%           23:43       0.14       0.15500   -131132.20270     39293.30141    -91838.90129     300.37133   104.3248     1.0029
  6.400%           23:27       0.14       0.16000   -131218.98615     39412.39461    -91806.59155     301.28172   104.3248     1.0029
  6.600%           23:11       0.15       0.16500   -131595.73139     39647.27971    -91948.45168     303.07726   104.3248     1.0029
  6.800%           22:56       0.15       0.17000   -131715.71400     39772.10637    -91943.60763     304.03148   104.3248     1.0029
  7.000%           22:42       0.15       0.17500   -131686.02946     39674.28441    -92011.74505     303.28369   104.3248     1.0029
  7.200%           22:28       0.15       0.18000   -131779.10481     39696.75593    -92082.34888     303.45547   104.3248     1.0029
  7.400%           22:15       0.15       0.18500   -131675.75020     39593.77989    -92081.97031     302.66829   104.3248     1.0029
  7.600%           22:03       0.15       0.19000   -131447.19460     39352.94680    -92094.24780     300.82728   104.3248     1.0029
  7.800%           21:51       0.15       0.19500   -131358.70931     39298.87464    -92059.83467     300.41393   104.3248     1.0029
  8.000%           21:40       0.15       0.20000   -131481.10367     39405.65285    -92075.45081     301.23018   104.3248     1.0029
  8.200%           21:40       0.15       0.20500   -131608.53975     39560.26844    -92048.27131     302.41212   104.3248     1.0029
  8.400%           21:29       0.15       0.21000   -131497.12942     39515.91986    -91981.20956     302.07310   104.3248     1.0029
  8.600%           21:18       0.15       0.21500   -131505.04334     39671.67172    -91833.37162     303.26372   104.3248     1.0029
  8.800%           21:08       0.16       0.22000   -131276.84101     39480.02546    -91796.81555     301.79871   104.3248     1.0029
  9.000%           20:59       0.16       0.22500   -131416.32319     39683.09318    -91733.23001     303.35103   104.3248     1.0029
  9.200%           20:59       0.16       0.23000   -131209.55521     39462.90769    -91746.64751     301.66786   104.3248     1.0029
  9.400%           20:50       0.16       0.23500   -131186.35792     39440.12527    -91746.23266     301.49370   104.3248     1.0029
  9.600%           20:41       0.16       0.24000   -131102.33680     39324.21060    -91778.12620     300.60761   104.3248     1.0029
  9.800%           20:33       0.16       0.24500   -131066.94014     39306.55351    -91760.38664     300.47263   104.3248     1.0029
 10.000%           20:25       0.16       0.25000   -131263.56355     39492.06801    -91771.49554     301.89077   104.3248     1.0029
 10.200%           20:25       0.16       0.25500   -131539.22623     39749.80206    -91789.42417     303.86097   104.3248     1.0029
 10.400%           20:17       0.16       0.26000   -131359.45285     39605.82881    -91753.62404     302.76039   104.3248     1.0029
 10.600%           20:09       0.16       0.26500   -131196.11243     39460.68108    -91735.43134     301.65084   104.3248     1.0029
 10.800%           20:01       0.16       0.27000   -131192.06591     39508.66942    -91683.39648     302.01767   104.3248     1.0029
 11.000%           19:54       0.16       0.27500   -131481.90849     39798.88545    -91683.02304     304.23618   104.3248     1.0029
 11.200%           19:46       0.16       0.28000   -131548.87417     39822.20375    -91726.67042     304.41444   104.3248     1.0029
 11.400%           19:40       0.16       0.28500   -131514.62817     39801.94253    -91712.68564     304.25955   104.3248     1.0029
 11.600%           19:33       0.16       0.29000   -131560.14180     39782.32587    -91777.81593     304.10960   104.3248     1.0029
 11.800%           19:27       0.16       0.29500   -131666.83713     39871.45045    -91795.38668     304.79090   104.3248     1.0029
 12.000%           19:24       0.16       0.30000   -131359.20028     39512.75776    -91846.44252     302.04893   104.3248     1.0029
 12.200%           19:24       0.16       0.30500   -131476.85888     39680.85377    -91796.00511     303.33391   104.3248     1.0029
 12.400%           19:18       0.16       0.31000   -131505.67746     39812.12835    -91693.54911     304.33742   104.3248     1.0029
 12.600%           19:11       0.16       0.31500   -131559.67822     39918.74285    -91640.93537     305.15242   104.3248     1.0029
 12.800%           19:05       0.16       0.32000   -131127.62292     39523.23408    -91604.38884     302.12901   104.3248     1.0029
 13.000%           18:59       0.16       0.32500   -131172.28302     39594.53088    -91577.75214     302.67403   104.3248     1.0029
 13.200%           18:53       0.17       0.33000   -130998.69551     39482.93417    -91515.76133     301.82095   104.3248     1.0029
 13.400%           18:47       0.17       0.33500   -131599.34412     39986.92428    -91612.41984     305.67362   104.3248     1.0029
 13.600%           18:41       0.17       0.34000   -131760.88686     40116.76402    -91644.12284     306.66616   104.3248     1.0029
 13.800%           18:36       0.17       0.34500   -132046.77597     40432.50954    -91614.26643     309.07982   104.3248     1.0029
 14.000%           18:30       0.17       0.35000   -131543.00201     39904.43609    -91638.56592     305.04305   104.3248     1.0029
 14.200%           18:30       0.17       0.35500   -131446.33182     39745.65824    -91700.67358     303.82930   104.3248     1.0029
 14.400%           18:25       0.17       0.36000   -131650.92766     39965.95581    -91684.97185     305.51333   104.3248     1.0029
 14.600%           18:19       0.17       0.36500   -131445.26208     39723.07927    -91722.18281     303.65670   104.3248     1.0029
 14.800%           18:14       0.17       0.37000   -131414.91078     39670.27559    -91744.63520     303.25305   104.3248     1.0029
 15.000%           18:09       0.17       0.37500   -131156.28818     39306.71380    -91849.57437     300.47386   104.3248     1.0029
 15.200%           18:04       0.17       0.38000   -131597.91411     39828.98352    -91768.93059     304.46626   104.3248     1.0029
 15.400%           17:59       0.17       0.38500   -131657.48870     39803.53540    -91853.95330     304.27173   104.3248     1.0029
 15.600%           17:54       0.17       0.39000   -132024.87782     40217.06809    -91807.80973     307.43291   104.3248     1.0029
 15.800%           17:49       0.17       0.39500   -131512.19039     39768.78148    -91743.40891     304.00606   104.3248     1.0029
 16.000%           17:44       0.17       0.40000   -131610.26617     39809.75030    -91800.51588     304.31924   104.3248     1.0029
 16.200%           17:44       0.17       0.40500   -131606.34199     39848.57411    -91757.76787     304.61602   104.3248     1.0029
 16.400%           17:39       0.17       0.41000   -131791.27141     39963.51837    -91827.75304     305.49469   104.3248     1.0029
 16.600%           17:35       0.17       0.41500   -131611.18596     39777.60461    -91833.58136     304.07351   104.3248     1.0029
 16.800%           17:30       0.17       0.42000   -131690.05445     39755.75832    -91934.29613     303.90651   104.3248     1.0029
 17.000%           17:26       0.17       0.42500   -131585.57977     39628.74504    -91956.83472     302.93557   104.3248     1.0029
 17.200%           17:21       0.17       0.43000   -131534.22432     39664.16260    -91870.06173     303.20632   104.3248     1.0029
 17.400%           17:17       0.17       0.43500   -131537.76363     39661.86458    -91875.89905     303.18875   104.3248     1.0029
 17.600%           17:12       0.17       0.44000   -131311.26275     39473.73375    -91837.52901     301.75061   104.3248     1.0029
 17.800%           17:08       0.17       0.44500   -131589.16348     39674.12741    -91915.03607     303.28249   104.3248     1.0029
 18.000%           17:04       0.17       0.45000   -131584.47376     39666.10889    -91918.36488     303.22120   104.3248     1.0029
 18.200%           17:04       0.17       0.45500   -131944.39998     39954.68800    -91989.71198     305.42719   104.3248     1.0029
 18.400%           16:59       0.17       0.46000   -131814.22855     39840.06296    -91974.16559     304.55096   104.3248     1.0029
 18.600%           16:55       0.17       0.46500   -131722.32179     39735.30100    -91987.02079     303.75012   104.3248     1.0029
 18.800%           16:51       0.17       0.47000   -131432.33486     39441.28431    -91991.05055     301.50256   104.3248     1.0029
 19.000%           16:47       0.17       0.47500   -131377.19894     39440.78488    -91936.41406     301.49874   104.3248     1.0029
 19.200%           16:42       0.17       0.48000   -131410.64537     39422.22758    -91988.41779     301.35688   104.3248     1.0029
 19.400%           16:38       0.17       0.48500   -131454.84623     39471.01098    -91983.83525     301.72980   104.3248     1.0029
 19.600%           16:34       0.17       0.49000   -130955.86510     39038.99308    -91916.87202     298.42731   104.3248     1.0029
 19.800%           16:30       0.17       0.49500   -131203.46231     39315.91434    -91887.54796     300.54419   104.3248     1.0029
 20.000%           16:26       0.18       0.50000   -131288.94665     39444.71396    -91844.23269     301.52878   104.3248     1.0029
 20.200%           16:26       0.17       0.50500   -131696.95580     39827.12877    -91869.82703     304.45209   104.3248     1.0029
 20.400%           16:22       0.18       0.51000   -131315.49421     39436.11626    -91879.37795     301.46305   104.3248     1.0029
 20.600%           16:18       0.18       0.51500   -131277.49097     39384.21835    -91893.27262     301.06633   104.3248     1.0029
 20.800%           16:14       0.18       0.52000   -131317.85501     39374.53025    -91943.32476     300.99227   104.3248     1.0029
 21.000%           16:10       0.18       0.52500   -131874.25153     39881.68521    -91992.56632     304.86913   104.3248     1.0029
 21.200%           16:07       0.18       0.53000   -131808.47646     39781.00931    -92027.46715     304.09953   104.3248     1.0029
 21.400%           16:03       0.18       0.53500   -131889.01123     39803.73453    -92085.27670     304.27325   104.3248     1.0029
 21.600%           15:59       0.18       0.54000   -131776.65133     39621.39575    -92155.25557     302.87939   104.3248     1.0029
 21.800%           15:55       0.18       0.54500   -131921.28364     39735.14257    -92186.14106     303.74891   104.3248     1.0029
 22.000%           15:52       0.18       0.55000   -131838.96247     39609.43816    -92229.52432     302.78799   104.3248     1.0029
 22.200%           15:52       0.18       0.55500   -131581.66619     39328.98934    -92252.67685     300.64414   104.3248     1.0029
 22.400%           15:48       0.18       0.56000   -131440.37988     39192.86339    -92247.51649     299.60355   104.3248     1.0029
 22.600%           15:44       0.18       0.56500   -131512.64815     39335.21641    -92177.43174     300.69174   104.3248     1.0029
 22.800%           15:41       0.18       0.57000   -131569.90789     39408.23970    -92161.66819     301.24996   104.3248     1.0029
 23.000%           15:37       0.18       0.57500   -131756.61149     39576.65734    -92179.95415     302.53740   104.3248     1.0029
 23.200%           15:34       0.18       0.58000   -131723.67618     39552.76179    -92170.91440     302.35473   104.3248     1.0029
 23.400%           15:30       0.18       0.58500   -131869.70368     39732.97527    -92136.72841     303.73234   104.3248     1.0029
 23.600%           15:27       0.18       0.59000   -131579.23596     39370.38646    -92208.84949     300.96059   104.3248     1.0029
 23.800%           15:23       0.18       0.59500   -131799.60570     39583.90599    -92215.69971     302.59281   104.3248     1.0029
 24.000%           15:20       0.18       0.60000   -131507.36099     39253.37705    -92253.98394     300.06613   104.3248     1.0029
 24.200%           15:19       0.18       0.60500   -131880.20762     39525.54653    -92354.66109     302.14669   104.3248     1.0029
 24.400%           15:16       0.18       0.61000   -131461.23689     39074.86421    -92386.37268     298.70152   104.3248     1.0029
 24.600%           15:13       0.18       0.61500   -131679.16114     39327.04852    -92352.11262     300.62930   104.3248     1.0029
 24.800%           15:09       0.18       0.62000   -131697.96938     39279.30716    -92418.66221     300.26435   104.3248     1.0029
